Q36b,Q37b,Q38b,QRID,Q39b,Q5,Q6,country,Q15a,Q15b
Yes,Yes,,1006015,Yes,Favor,Legal in most cases,Austria,A few times a year,
Yes,Yes,Yes,1012247,Yes,Favor,Legal in most cases,Austria,Never,
,Yes,Yes,1012251,Yes,Favor,Illegal in most cases,Austria,Never,
Yes,Yes,,1012271,Yes,Favor,Legal in most cases,Austria,Once or twice a month,
Yes,Yes,,1012279,Yes,Favor,Legal in most cases,Austria,Seldom,
Yes,Yes,,1012287,Yes,Favor,Legal in all cases,Austria,Once or twice a month,
Yes,Yes,,1012291,Yes,Favor,Legal in most cases,Austria,A few times a year,
Yes,Yes,,1012317,Yes,Favor,Legal in most cases,Austria,A few times a year,
Yes,Yes,,1012336,Yes,Strongly favor,Legal in most cases,Austria,A few times a year,
Yes,Yes,,1012339,Yes,Favor,Legal in most cases,Austria,Once or twice a month,
Other / Both / Neither / Depends (DO NOT READ),Other / Both / Neither / Depends (DO NOT READ),,1012341,Yes,Oppose,Illegal in most cases,Austria,Once or twice a month,
Yes,Yes,,1012351,Yes,Favor,Legal in most cases,Austria,A few times a year,
Yes,Yes,Yes,1012360,Yes,Favor,Legal in most cases,Austria,Seldom,
Yes,Yes,,1012378,Yes,Favor,Illegal in most cases,Austria,More than once a week,
Yes,Yes,,1012396,Yes,Favor,Legal in most cases,Austria,Seldom,
Yes,Yes,,1012400,Yes,Favor,Legal in most cases,Austria,Seldom,
Yes,,Yes,1012439,Yes,Favor,Illegal in all cases,Austria,,Never
Yes,Yes,,1012443,Yes,Favor,Legal in most cases,Austria,A few times a year,
Yes,Yes,,1012451,Yes,Favor,Legal in most cases,Austria,A few times a year,
Yes,Yes,,1012466,Yes,Strongly favor,Legal in most cases,Austria,Never,
Yes,Yes,Yes,1012476,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Yes,,1012481,Yes,Favor,Legal in all cases,Austria,Seldom,
Yes,Yes,,1012495,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Yes,,1012523,Yes,Favor,Legal in most cases,Austria,Seldom,
Yes,Yes,,1012541,Yes,Favor,Legal in most cases,Austria,Once or twice a month,
Yes,Yes,Yes,1012545,,Favor,Don't know (DO NOT READ),Austria,Never,
No,No,,1012546,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Yes,,1012549,Yes,Favor,Legal in most cases,Austria,A few times a year,
Yes,Yes,,1012550,Yes,Favor,Legal in most cases,Austria,A few times a year,
No,Yes,,1012558,Yes,Favor,Legal in most cases,Austria,Seldom,
Yes,Yes,,1012559,Yes,Favor,Legal in most cases,Austria,Once or twice a month,
Yes,Yes,,1012565,Yes,Strongly favor,Legal in all cases,Austria,A few times a year,
Yes,Yes,,1012588,Yes,Strongly oppose,Illegal in all cases,Austria,A few times a year,
Yes,Yes,,1012592,Yes,Favor,Legal in most cases,Austria,A few times a year,
Yes,Yes,,1012593,Yes,Favor,Legal in most cases,Austria,A few times a year,
Yes,Yes,Yes,1012617,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Yes,,1012635,Yes,Favor,Legal in most cases,Austria,A few times a year,
Yes,Yes,,1012644,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Yes,,1012653,Yes,Favor,Legal in most cases,Austria,A few times a year,
Other / Both / Neither / Depends (DO NOT READ),Other / Both / Neither / Depends (DO NOT READ),,1012670,Yes,Oppose,Illegal in most cases,Austria,Once or twice a month,
Yes,Yes,,1012677,Yes,Favor,Legal in most cases,Austria,A few times a year,
Yes,Yes,,1012685,Yes,Favor,Illegal in most cases,Austria,Never,
